2024-03-17 14:28 comment: fed avg, agglomerator(no-pre), pacs on p
2024-03-17 14:54 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 2.0402 | Acc: 36.59%
2024-03-17 14:54 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.3910 | Acc: 57.02%
2024-03-17 14:54 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.8314 | Acc: 69.21%
2024-03-17 14:54 Model saved! Best Val Acc: 128.66%
2024-03-17 14:55 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 1.9968 | Acc: 37.54%
2024-03-17 14:55 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 1.5879 | Acc: 41.95%
2024-03-17 14:56 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.0926 | Acc: 62.13%
2024-03-17 14:58 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.8654 | Acc: 72.26%
2024-03-17 14:58 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 2.0675 | Acc: 35.61%
2024-03-17 14:58 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.4573 | Acc: 56.60%
2024-03-17 14:58 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.8308 | Acc: 69.47%
2024-03-17 14:58 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 2.0433 | Acc: 37.43%
2024-03-17 14:59 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 1.6278 | Acc: 42.44%
2024-03-17 15:00 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.0935 | Acc: 63.83%
2024-03-17 15:01 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.8191 | Acc: 74.05%
2024-03-17 15:01 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 2.1503 | Acc: 33.17%
2024-03-17 15:01 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.5210 | Acc: 58.30%
2024-03-17 15:01 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.8421 | Acc: 69.47%
2024-03-17 15:01 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 2.0760 | Acc: 38.50%
2024-03-17 15:02 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 1.6399 | Acc: 41.46%
2024-03-17 15:03 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.1357 | Acc: 64.68%
2024-03-17 15:04 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.9133 | Acc: 73.54%
2024-03-17 15:04 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 2.1732 | Acc: 32.20%
2024-03-17 15:04 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.4587 | Acc: 59.15%
2024-03-17 15:04 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.8795 | Acc: 69.97%
2024-03-17 15:05 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 2.1175 | Acc: 37.60%
