2024-04-16 12:54 comment: RSC, mobilenetv1 pretrained, pacs on p
2024-04-16 13:09 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 1.4577 | Acc: 65.85%
2024-04-16 13:09 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.1246 | Acc: 77.02%
2024-04-16 13:09 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.4348 | Acc: 91.35%
2024-04-16 13:09 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 1.7833 | Acc: 57.49%
2024-04-16 13:10 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.8641 | Acc: 84.39%
2024-04-16 13:10 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.6984 | Acc: 85.96%
2024-04-16 13:11 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.3633 | Acc: 93.13%
2024-04-16 13:11 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 1.6060 | Acc: 74.15%
2024-04-16 13:11 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.2913 | Acc: 78.30%
2024-04-16 13:11 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.4607 | Acc: 91.86%
2024-04-16 13:11 Model saved! Best Val Acc: 83.68%
2024-04-16 13:11 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 1.8473 | Acc: 70.00%
2024-04-16 13:12 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.8191 | Acc: 85.37%
2024-04-16 13:12 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.6834 | Acc: 85.53%
2024-04-16 13:13 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.3496 | Acc: 93.64%
2024-04-16 13:13 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 1.5284 | Acc: 73.17%
2024-04-16 13:13 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.2947 | Acc: 78.72%
2024-04-16 13:13 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.4148 | Acc: 91.09%
2024-04-16 13:13 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 1.6401 | Acc: 72.87%
2024-04-16 13:13 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.9400 | Acc: 83.41%
2024-04-16 13:14 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.7230 | Acc: 85.53%
2024-04-16 13:15 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.3979 | Acc: 93.64%
2024-04-16 13:15 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 1.4732 | Acc: 74.63%
2024-04-16 13:15 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.3138 | Acc: 80.85%
2024-04-16 13:15 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.3978 | Acc: 93.38%
2024-04-16 13:15 Model saved! Best Val Acc: 85.24%
2024-04-16 13:15 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 1.4965 | Acc: 74.79%
