2024-04-13 14:52 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.4345 | Acc: 97.60%
2024-04-13 14:53 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 3.7783 | Acc: 85.37%
2024-04-13 14:53 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 4.0689 | Acc: 84.68%
2024-04-13 14:53 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.6913 | Acc: 95.21%
2024-04-13 14:53 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 5.5935 | Acc: 83.90%
2024-04-13 14:53 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 6.5854 | Acc: 77.45%
2024-04-13 14:53 Model saved! Best Val Acc: 84.52%
2024-04-13 14:54 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 11.8934 | Acc: 60.52%
2024-04-13 14:54 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.3617 | Acc: 97.01%
2024-04-13 14:55 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 4.2545 | Acc: 85.85%
2024-04-13 14:55 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 5.1751 | Acc: 87.23%
2024-04-13 14:55 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.9648 | Acc: 93.41%
2024-04-13 14:55 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 6.0195 | Acc: 85.37%
2024-04-13 14:55 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 6.4203 | Acc: 80.85%
2024-04-13 14:55 Model saved! Best Val Acc: 85.84%
2024-04-13 14:55 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 11.9469 | Acc: 64.85%
2024-04-13 14:56 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.4904 | Acc: 97.01%
2024-04-13 14:56 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 5.7686 | Acc: 87.32%
2024-04-13 14:57 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 6.7248 | Acc: 85.11%
2024-04-13 14:57 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 2.4654 | Acc: 95.21%
2024-04-13 14:57 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 7.7552 | Acc: 85.37%
2024-04-13 14:57 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 6.7490 | Acc: 83.83%
