2024-04-14 14:25 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 6.0876 | Acc: 76.27%
2024-04-14 14:25 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 5.7566 | Acc: 67.38%
2024-04-14 14:26 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2183 | Acc: 99.00%
2024-04-14 14:26 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 6.2861 | Acc: 74.15%
2024-04-14 14:26 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 10.1275 | Acc: 60.43%
2024-04-14 14:26 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0770 | Acc: 99.00%
2024-04-14 14:26 Model saved! Best Val Acc: 73.97%
2024-04-14 14:26 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 6.6446 | Acc: 65.48%
2024-04-14 14:26 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 8.6971 | Acc: 77.12%
2024-04-14 14:27 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 10.7841 | Acc: 66.31%
2024-04-14 14:27 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:27 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 7.0055 | Acc: 75.42%
2024-04-14 14:27 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 10.5150 | Acc: 64.71%
2024-04-14 14:27 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:27 Model saved! Best Val Acc: 76.26%
2024-04-14 14:27 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 8.7622 | Acc: 62.23%
2024-04-14 14:28 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 11.4940 | Acc: 77.54%
2024-04-14 14:29 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 13.7847 | Acc: 65.78%
2024-04-14 14:29 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:29 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 9.3250 | Acc: 76.69%
2024-04-14 14:29 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 17.9906 | Acc: 61.50%
2024-04-14 14:29 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0488 | Acc: 99.00%
2024-04-14 14:29 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 11.7806 | Acc: 65.18%
2024-04-14 14:30 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 13.1037 | Acc: 75.85%
2024-04-14 14:30 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 17.9917 | Acc: 66.84%
2024-04-14 14:31 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:31 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 11.2620 | Acc: 76.69%
2024-04-14 14:31 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 19.0332 | Acc: 63.10%
2024-04-14 14:31 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.2538 | Acc: 99.00%
2024-04-14 14:31 test_domain Round:   3 | Epochs:  15 | Domain: s | loss: 13.6654 | Acc: 64.57%
2024-04-14 14:31 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 14.1810 | Acc: 77.54%
2024-04-14 14:32 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 21.0268 | Acc: 63.64%
2024-04-14 14:32 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:32 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 12.6074 | Acc: 77.12%
2024-04-14 14:32 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 20.1140 | Acc: 63.10%
2024-04-14 14:32 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.6170 | Acc: 99.00%
2024-04-14 14:32 Model saved! Best Val Acc: 76.27%
2024-04-14 14:32 test_domain Round:   4 | Epochs:  20 | Domain: s | loss: 15.9702 | Acc: 63.25%
2024-04-14 14:33 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 14.7691 | Acc: 77.12%
2024-04-14 14:33 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 22.3722 | Acc: 64.17%
2024-04-14 14:34 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:34 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 14.1441 | Acc: 75.85%
2024-04-14 14:34 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 24.1430 | Acc: 62.03%
2024-04-14 14:34 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.2654 | Acc: 99.00%
2024-04-14 14:34 test_domain Round:   5 | Epochs:  25 | Domain: s | loss: 18.5241 | Acc: 62.54%
2024-04-14 14:34 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 16.1776 | Acc: 74.58%
2024-04-14 14:35 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 23.8304 | Acc: 67.91%
2024-04-14 14:35 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:35 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 16.0490 | Acc: 75.85%
2024-04-14 14:35 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 31.5344 | Acc: 60.43%
2024-04-14 14:35 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.2975 | Acc: 99.00%
2024-04-14 14:35 test_domain Round:   6 | Epochs:  30 | Domain: s | loss: 20.9307 | Acc: 65.18%
2024-04-14 14:36 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 17.8538 | Acc: 78.39%
2024-04-14 14:36 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 25.8877 | Acc: 67.38%
2024-04-14 14:36 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 14:36 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 16.8138 | Acc: 79.66%
2024-04-14 14:37 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 26.4627 | Acc: 62.57%
2024-04-14 14:37 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.3581 | Acc: 99.00%
2024-04-14 14:37 Model saved! Best Val Acc: 77.23%
2024-04-14 14:37 test_domain Round:   7 | Epochs:  35 | Domain: s | loss: 21.4311 | Acc: 63.65%
2024-04-14 14:37 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 16.3715 | Acc: 78.81%
2024-04-14 14:38 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 23.9713 | Acc: 66.31%
2024-04-14 14:38 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.3083 | Acc: 99.00%
2024-04-14 14:38 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 16.6820 | Acc: 77.97%
2024-04-14 14:38 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 25.9297 | Acc: 64.71%
2024-04-14 14:38 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4084 | Acc: 99.00%
2024-04-14 14:38 test_domain Round:   8 | Epochs:  40 | Domain: s | loss: 21.6144 | Acc: 63.35%
2024-04-14 14:38 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 16.6005 | Acc: 77.97%
2024-04-14 14:39 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 23.7428 | Acc: 67.38%
2024-04-14 14:39 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.3452 | Acc: 99.00%
2024-04-14 14:39 after_fed Round:   9 | Epochs:  45 | Domain: v | loss: 16.6515 | Acc: 77.97%
2024-04-14 14:39 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 25.4472 | Acc: 65.78%
2024-04-14 14:39 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4567 | Acc: 99.00%
2024-04-14 14:39 Model saved! Best Val Acc: 77.61%
2024-04-14 14:39 test_domain Round:   9 | Epochs:  45 | Domain: s | loss: 21.7308 | Acc: 63.45%
2024-04-14 14:40 before_fed Round:  10 | Epochs:  50 | Domain: v | loss: 17.0679 | Acc: 79.24%
2024-04-14 14:40 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 23.8050 | Acc: 67.38%
2024-04-14 14:41 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.3863 | Acc: 99.00%
2024-04-14 14:41 after_fed Round:  10 | Epochs:  50 | Domain: v | loss: 17.0417 | Acc: 77.54%
2024-04-14 14:41 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 25.5921 | Acc: 65.78%
2024-04-14 14:41 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.5418 | Acc: 99.00%
2024-04-14 14:41 test_domain Round:  10 | Epochs:  50 | Domain: s | loss: 22.1833 | Acc: 63.35%
