2024-03-19 09:29 comment: fed avg, ccnet(3heads), vlcs on v
2024-03-19 09:42 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.1915 | Acc: 63.10%
2024-03-19 09:42 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.1427 | Acc: 98.00%
2024-03-19 09:42 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.6991 | Acc: 77.39%
2024-03-19 09:42 test_domain Round:   7 | Epochs:  35 | Domain: v | loss: 1.2149 | Acc: 65.75%
2024-03-19 09:43 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 0.7664 | Acc: 72.19%
2024-03-19 09:43 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.0490 | Acc: 99.00%
2024-03-19 09:44 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.8399 | Acc: 76.96%
2024-03-19 09:44 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.2430 | Acc: 64.71%
2024-03-19 09:44 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1326 | Acc: 98.00%
2024-03-19 09:44 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.7123 | Acc: 77.83%
2024-03-19 09:44 test_domain Round:   8 | Epochs:  40 | Domain: v | loss: 1.2362 | Acc: 65.75%
2024-03-19 09:45 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 0.7866 | Acc: 71.66%
2024-03-19 09:45 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.0460 | Acc: 99.00%
2024-03-19 09:46 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.8738 | Acc: 76.52%
2024-03-19 09:46 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.2905 | Acc: 64.17%
2024-03-19 09:46 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.1260 | Acc: 98.00%
2024-03-19 09:46 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.7333 | Acc: 77.83%
2024-03-19 09:46 test_domain Round:   9 | Epochs:  45 | Domain: v | loss: 1.2798 | Acc: 65.65%
2024-03-19 09:46 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 0.8097 | Acc: 72.19%
2024-03-19 09:47 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.0452 | Acc: 99.00%
2024-03-19 09:47 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.9297 | Acc: 77.39%
2024-03-19 09:47 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.3970 | Acc: 64.17%
2024-03-19 09:47 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.1254 | Acc: 98.00%
2024-03-19 09:47 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.7607 | Acc: 77.83%
2024-03-19 09:48 test_domain Round:  10 | Epochs:  50 | Domain: v | loss: 1.3361 | Acc: 65.35%
2024-03-19 09:48 before_fed Round:  11 | Epochs:  55 | Domain: l | loss: 0.8220 | Acc: 72.19%
2024-03-19 09:48 before_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.0457 | Acc: 99.00%
2024-03-19 09:49 before_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.9566 | Acc: 76.96%
2024-03-19 09:49 after_fed Round:  11 | Epochs:  55 | Domain: l | loss: 1.4517 | Acc: 63.64%
2024-03-19 09:49 after_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.1268 | Acc: 98.00%
2024-03-19 09:49 after_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.7845 | Acc: 77.83%
2024-03-19 09:49 test_domain Round:  11 | Epochs:  55 | Domain: v | loss: 1.3766 | Acc: 65.15%
2024-03-19 09:50 before_fed Round:  12 | Epochs:  60 | Domain: l | loss: 0.8477 | Acc: 71.12%
2024-03-19 09:50 before_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.0476 | Acc: 99.00%
2024-03-19 09:51 before_fed Round:  12 | Epochs:  60 | Domain: s | loss: 1.0059 | Acc: 77.83%
2024-03-19 09:51 after_fed Round:  12 | Epochs:  60 | Domain: l | loss: 1.5270 | Acc: 64.71%
2024-03-19 09:51 after_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.1237 | Acc: 99.00%
2024-03-19 09:51 after_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.8159 | Acc: 76.96%
2024-03-19 09:51 test_domain Round:  12 | Epochs:  60 | Domain: v | loss: 1.4248 | Acc: 65.55%
2024-03-19 09:51 before_fed Round:  13 | Epochs:  65 | Domain: l | loss: 0.8736 | Acc: 71.12%
2024-03-19 09:52 before_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.0489 | Acc: 99.00%
2024-03-19 09:52 before_fed Round:  13 | Epochs:  65 | Domain: s | loss: 1.0448 | Acc: 78.26%
2024-03-19 09:52 after_fed Round:  13 | Epochs:  65 | Domain: l | loss: 1.6055 | Acc: 64.17%
2024-03-19 09:52 after_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.1274 | Acc: 98.00%
2024-03-19 09:52 after_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.8471 | Acc: 77.39%
2024-03-19 09:52 test_domain Round:  13 | Epochs:  65 | Domain: v | loss: 1.4945 | Acc: 65.75%
2024-03-19 09:53 before_fed Round:  14 | Epochs:  70 | Domain: l | loss: 0.9068 | Acc: 71.12%
2024-03-19 09:53 before_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.0514 | Acc: 99.00%
2024-03-19 09:54 before_fed Round:  14 | Epochs:  70 | Domain: s | loss: 1.0925 | Acc: 77.39%
2024-03-19 09:54 after_fed Round:  14 | Epochs:  70 | Domain: l | loss: 1.7006 | Acc: 64.17%
2024-03-19 09:54 after_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.1273 | Acc: 99.00%
2024-03-19 09:54 after_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.8801 | Acc: 77.39%
2024-03-19 09:54 test_domain Round:  14 | Epochs:  70 | Domain: v | loss: 1.5385 | Acc: 65.84%
2024-03-19 09:55 before_fed Round:  15 | Epochs:  75 | Domain: l | loss: 0.9623 | Acc: 68.98%
2024-03-19 09:55 before_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.0526 | Acc: 99.00%
2024-03-19 09:56 before_fed Round:  15 | Epochs:  75 | Domain: s | loss: 1.1428 | Acc: 76.96%
2024-03-19 09:56 after_fed Round:  15 | Epochs:  75 | Domain: l | loss: 1.8151 | Acc: 63.64%
2024-03-19 09:56 after_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.1298 | Acc: 99.00%
2024-03-19 09:56 after_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.9166 | Acc: 76.96%
2024-03-19 09:56 test_domain Round:  15 | Epochs:  75 | Domain: v | loss: 1.5928 | Acc: 65.94%
2024-03-19 09:56 before_fed Round:  16 | Epochs:  80 | Domain: l | loss: 1.0109 | Acc: 67.91%
2024-03-19 09:57 before_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.0549 | Acc: 99.00%
2024-03-19 09:57 before_fed Round:  16 | Epochs:  80 | Domain: s | loss: 1.1782 | Acc: 77.39%
2024-03-19 09:57 after_fed Round:  16 | Epochs:  80 | Domain: l | loss: 1.9127 | Acc: 62.57%
2024-03-19 09:57 after_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.1312 | Acc: 99.00%
2024-03-19 09:57 after_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.9517 | Acc: 76.52%
2024-03-19 09:58 test_domain Round:  16 | Epochs:  80 | Domain: v | loss: 1.6511 | Acc: 65.65%
2024-03-19 09:58 before_fed Round:  17 | Epochs:  85 | Domain: l | loss: 1.0868 | Acc: 66.84%
2024-03-19 09:58 before_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.0571 | Acc: 99.00%
2024-03-19 09:59 before_fed Round:  17 | Epochs:  85 | Domain: s | loss: 1.2203 | Acc: 76.96%
2024-03-19 09:59 after_fed Round:  17 | Epochs:  85 | Domain: l | loss: 2.0275 | Acc: 63.10%
2024-03-19 09:59 after_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.1303 | Acc: 99.00%
2024-03-19 09:59 after_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.9886 | Acc: 76.96%
2024-03-19 09:59 test_domain Round:  17 | Epochs:  85 | Domain: v | loss: 1.6990 | Acc: 65.65%
2024-03-19 10:00 before_fed Round:  18 | Epochs:  90 | Domain: l | loss: 1.1412 | Acc: 67.38%
2024-03-19 10:00 before_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.0574 | Acc: 99.00%
2024-03-19 10:01 before_fed Round:  18 | Epochs:  90 | Domain: s | loss: 1.2582 | Acc: 77.83%
2024-03-19 10:01 after_fed Round:  18 | Epochs:  90 | Domain: l | loss: 2.1046 | Acc: 62.03%
2024-03-19 10:01 after_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.1311 | Acc: 99.00%
2024-03-19 10:01 after_fed Round:  18 | Epochs:  90 | Domain: s | loss: 1.0241 | Acc: 76.96%
2024-03-19 10:01 test_domain Round:  18 | Epochs:  90 | Domain: v | loss: 1.7594 | Acc: 65.65%
2024-03-19 10:01 before_fed Round:  19 | Epochs:  95 | Domain: l | loss: 1.1823 | Acc: 66.31%
2024-03-19 10:02 before_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.0591 | Acc: 99.00%
2024-03-19 10:02 before_fed Round:  19 | Epochs:  95 | Domain: s | loss: 1.3030 | Acc: 77.83%
2024-03-19 10:02 after_fed Round:  19 | Epochs:  95 | Domain: l | loss: 2.1974 | Acc: 62.03%
2024-03-19 10:02 after_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.1323 | Acc: 98.00%
