2024-04-16 13:01 comment: RSC, mobilenetv1 pretrained, vlcs on v
2024-04-16 13:13 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.1778 | Acc: 73.48%
2024-04-16 13:13 Model saved! Best Val Acc: 74.06%
2024-04-16 13:13 test_domain Round:   7 | Epochs:  35 | Domain: v | loss: 1.9942 | Acc: 55.97%
2024-04-16 13:13 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 2.1531 | Acc: 69.52%
2024-04-16 13:14 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.0932 | Acc: 98.00%
2024-04-16 13:14 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.5048 | Acc: 79.13%
2024-04-16 13:14 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 3.3602 | Acc: 66.31%
2024-04-16 13:14 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.2368 | Acc: 92.00%
2024-04-16 13:14 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.2771 | Acc: 80.43%
2024-04-16 13:14 Model saved! Best Val Acc: 77.55%
2024-04-16 13:14 test_domain Round:   8 | Epochs:  40 | Domain: v | loss: 2.5725 | Acc: 60.51%
2024-04-16 13:15 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 2.1281 | Acc: 74.33%
2024-04-16 13:15 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.0650 | Acc: 99.00%
2024-04-16 13:16 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.6128 | Acc: 76.52%
2024-04-16 13:16 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 3.3322 | Acc: 64.71%
2024-04-16 13:16 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.3311 | Acc: 91.00%
2024-04-16 13:16 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.2815 | Acc: 79.57%
2024-04-16 13:16 test_domain Round:   9 | Epochs:  45 | Domain: v | loss: 2.6939 | Acc: 59.33%
2024-04-16 13:16 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 2.2013 | Acc: 72.19%
2024-04-16 13:17 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.0571 | Acc: 99.00%
2024-04-16 13:17 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.7073 | Acc: 77.39%
2024-04-16 13:17 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 3.3761 | Acc: 65.24%
2024-04-16 13:17 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.3247 | Acc: 91.00%
2024-04-16 13:17 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.2763 | Acc: 80.43%
2024-04-16 13:17 test_domain Round:  10 | Epochs:  50 | Domain: v | loss: 2.6454 | Acc: 59.33%
