2024-03-16 02:41 comment: fed avg, ccnet(3heads), pacs on p
2024-03-16 02:57 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.3251 | Acc: 90.33%
2024-03-16 02:57 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.5462 | Acc: 82.44%
2024-03-16 02:57 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.7107 | Acc: 79.57%
2024-03-16 02:57 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.3525 | Acc: 88.80%
2024-03-16 02:57 Model saved! Best Val Acc: 50.11%
2024-03-16 02:58 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 0.3096 | Acc: 91.44%
2024-03-16 02:58 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.4183 | Acc: 84.88%
2024-03-16 02:59 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4612 | Acc: 86.81%
2024-03-16 02:59 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.3459 | Acc: 89.82%
2024-03-16 02:59 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.5423 | Acc: 84.39%
2024-03-16 02:59 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.7191 | Acc: 80.43%
2024-03-16 02:59 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.3607 | Acc: 89.06%
2024-03-16 03:00 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 0.3115 | Acc: 91.68%
2024-03-16 03:00 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4330 | Acc: 86.34%
2024-03-16 03:01 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4855 | Acc: 86.81%
2024-03-16 03:01 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.3609 | Acc: 90.33%
2024-03-16 03:01 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.5458 | Acc: 82.93%
2024-03-16 03:01 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.7323 | Acc: 80.43%
2024-03-16 03:01 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.3710 | Acc: 89.06%
2024-03-16 03:02 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 0.3152 | Acc: 91.92%
2024-03-16 03:02 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.4437 | Acc: 86.34%
2024-03-16 03:03 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.4934 | Acc: 85.96%
2024-03-16 03:03 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.3687 | Acc: 90.08%
2024-03-16 03:03 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.5540 | Acc: 82.93%
2024-03-16 03:03 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.7458 | Acc: 80.43%
2024-03-16 03:03 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.3789 | Acc: 88.55%
2024-03-16 03:04 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 0.3306 | Acc: 91.50%
