2024-04-22 16:25 comment: scaffold, mobilenetv1 pretrained, vlcs on v
2024-04-22 16:35 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.3890 | Acc: 61.50%
2024-04-22 16:35 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.1526 | Acc: 77.00%
2024-04-22 16:35 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.7356 | Acc: 77.83%
2024-04-22 16:35 test_domain Round:   7 | Epochs:  35 | Domain: v | loss: 1.9984 | Acc: 56.47%
2024-04-22 16:35 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.1496 | Acc: 65.24%
2024-04-22 16:36 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.3119 | Acc: 94.00%
2024-04-22 16:36 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.6908 | Acc: 80.43%
2024-04-22 16:36 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.3221 | Acc: 63.64%
2024-04-22 16:36 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.9403 | Acc: 78.00%
2024-04-22 16:36 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.7085 | Acc: 78.70%
2024-04-22 16:36 Model saved! Best Val Acc: 73.12%
2024-04-22 16:36 test_domain Round:   8 | Epochs:  40 | Domain: v | loss: 1.7948 | Acc: 56.86%
2024-04-22 16:37 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.1171 | Acc: 63.64%
2024-04-22 16:37 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2068 | Acc: 95.00%
2024-04-22 16:37 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.7009 | Acc: 79.13%
2024-04-22 16:37 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.3426 | Acc: 59.89%
2024-04-22 16:37 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.7383 | Acc: 78.00%
2024-04-22 16:37 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.7021 | Acc: 79.57%
2024-04-22 16:37 test_domain Round:   9 | Epochs:  45 | Domain: v | loss: 1.6544 | Acc: 57.16%
2024-04-22 16:38 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.2235 | Acc: 59.89%
2024-04-22 16:38 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.5028 | Acc: 86.00%
2024-04-22 16:39 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.6913 | Acc: 79.13%
2024-04-22 16:39 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.3010 | Acc: 60.43%
2024-04-22 16:39 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.7016 | Acc: 79.00%
2024-04-22 16:39 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.6923 | Acc: 79.13%
2024-04-22 16:39 test_domain Round:  10 | Epochs:  50 | Domain: v | loss: 1.6560 | Acc: 56.86%
