2024-03-17 18:37 comment: fed avg, agglomerator(finetunestep fixed), pacs on a
2024-03-17 19:03 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.9434 | Acc: 47.66%
2024-03-17 19:03 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.9296 | Acc: 71.25%
2024-03-17 19:03 test_domain Round:   7 | Epochs:  35 | Domain: a | loss: 3.3544 | Acc: 22.90%
2024-03-17 19:03 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 1.2688 | Acc: 63.47%
2024-03-17 19:04 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.4489 | Acc: 58.72%
2024-03-17 19:06 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.9258 | Acc: 76.84%
2024-03-17 19:06 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 1.8477 | Acc: 55.09%
2024-03-17 19:06 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.9952 | Acc: 48.09%
2024-03-17 19:06 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.9226 | Acc: 73.28%
2024-03-17 19:06 test_domain Round:   8 | Epochs:  40 | Domain: a | loss: 3.3950 | Acc: 22.41%
2024-03-17 19:07 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 1.3029 | Acc: 65.27%
2024-03-17 19:08 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.4323 | Acc: 61.28%
2024-03-17 19:09 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.9793 | Acc: 77.10%
2024-03-17 19:09 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 1.9349 | Acc: 58.08%
2024-03-17 19:09 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.9536 | Acc: 54.04%
2024-03-17 19:09 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.0485 | Acc: 69.21%
2024-03-17 19:09 test_domain Round:   9 | Epochs:  45 | Domain: a | loss: 3.5784 | Acc: 24.46%
2024-03-17 19:10 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 1.3892 | Acc: 62.87%
2024-03-17 19:11 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.5474 | Acc: 60.43%
2024-03-17 19:12 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.0670 | Acc: 74.05%
2024-03-17 19:12 after_fed Round:  10 | Epochs:  50 | Domain: p | loss: 2.0002 | Acc: 53.89%
2024-03-17 19:12 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 2.1034 | Acc: 51.91%
2024-03-17 19:12 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.1451 | Acc: 70.99%
2024-03-17 19:12 test_domain Round:  10 | Epochs:  50 | Domain: a | loss: 3.6977 | Acc: 22.61%
