2024-03-19 15:08 comment: fed avg, agglomerator(no-pre fixed), vlcs on v
2024-03-19 15:27 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.1471 | Acc: 54.01%
2024-03-19 15:27 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.2260 | Acc: 65.00%
2024-03-19 15:27 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.1994 | Acc: 56.96%
2024-03-19 15:27 Model saved! Best Val Acc: 118.56%
2024-03-19 15:27 test_domain Round:   7 | Epochs:  35 | Domain: v | loss: 1.9448 | Acc: 45.80%
2024-03-19 15:28 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.0775 | Acc: 56.15%
2024-03-19 15:29 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4951 | Acc: 87.00%
2024-03-19 15:30 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.1212 | Acc: 57.39%
2024-03-19 15:30 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.1652 | Acc: 55.08%
2024-03-19 15:30 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.3097 | Acc: 66.00%
2024-03-19 15:30 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.2004 | Acc: 56.52%
2024-03-19 15:30 test_domain Round:   8 | Epochs:  40 | Domain: v | loss: 2.0706 | Acc: 46.10%
2024-03-19 15:31 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.1163 | Acc: 57.22%
2024-03-19 15:31 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4715 | Acc: 85.00%
2024-03-19 15:32 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.1291 | Acc: 60.00%
2024-03-19 15:32 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.1933 | Acc: 54.01%
2024-03-19 15:32 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.3455 | Acc: 65.00%
2024-03-19 15:32 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.2409 | Acc: 56.52%
2024-03-19 15:32 test_domain Round:   9 | Epochs:  45 | Domain: v | loss: 2.1210 | Acc: 46.00%
2024-03-19 15:33 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.1362 | Acc: 55.08%
2024-03-19 15:34 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.4576 | Acc: 87.00%
2024-03-19 15:35 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.1327 | Acc: 57.83%
2024-03-19 15:35 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.2041 | Acc: 55.61%
2024-03-19 15:35 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.3887 | Acc: 62.00%
2024-03-19 15:35 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.2584 | Acc: 58.26%
2024-03-19 15:35 test_domain Round:  10 | Epochs:  50 | Domain: v | loss: 2.1269 | Acc: 46.30%
