2024-04-16 15:12 comment: RSC, ccnet(3heads), vlcs on v
2024-04-16 15:27 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.4773 | Acc: 98.00%
2024-04-16 15:27 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 5.0077 | Acc: 75.65%
2024-04-16 15:27 test_domain Round:   7 | Epochs:  35 | Domain: v | loss: 8.7131 | Acc: 66.63%
2024-04-16 15:27 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 7.6117 | Acc: 71.66%
2024-04-16 15:28 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4307 | Acc: 99.00%
2024-04-16 15:29 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 5.4294 | Acc: 74.35%
2024-04-16 15:29 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 9.4632 | Acc: 62.03%
2024-04-16 15:29 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4645 | Acc: 99.00%
2024-04-16 15:29 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 4.6027 | Acc: 75.22%
2024-04-16 15:29 test_domain Round:   8 | Epochs:  40 | Domain: v | loss: 8.5512 | Acc: 67.32%
2024-04-16 15:30 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 7.6070 | Acc: 71.66%
2024-04-16 15:30 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4281 | Acc: 99.00%
2024-04-16 15:31 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 5.7539 | Acc: 74.78%
2024-04-16 15:31 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 9.3861 | Acc: 61.50%
2024-04-16 15:31 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4623 | Acc: 99.00%
2024-04-16 15:31 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 4.6196 | Acc: 75.65%
2024-04-16 15:31 test_domain Round:   9 | Epochs:  45 | Domain: v | loss: 8.7138 | Acc: 66.34%
2024-04-16 15:32 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 7.3591 | Acc: 72.73%
2024-04-16 15:32 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.4278 | Acc: 99.00%
2024-04-16 15:33 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 5.7063 | Acc: 74.78%
2024-04-16 15:33 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 9.7783 | Acc: 60.43%
2024-04-16 15:33 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.4673 | Acc: 99.00%
2024-04-16 15:33 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 4.6844 | Acc: 75.22%
2024-04-16 15:33 test_domain Round:  10 | Epochs:  50 | Domain: v | loss: 8.8296 | Acc: 66.24%
